date,hits,words,shows,shows_with_hits,density_per_1000
2024-10-01,0,93572,24,0,0.000000
2024-10-02,0,91295,22,0,0.000000
2024-10-03,0,83996,24,0,0.000000
2024-10-04,0,87919,24,0,0.000000
2024-10-05,0,82603,24,0,0.000000
2024-10-06,0,83890,22,0,0.000000
2024-10-07,0,99130,24,0,0.000000
2024-10-08,0,75175,24,0,0.000000
2024-10-09,0,76220,24,0,0.000000
2024-10-10,0,65923,15,0,0.000000
2024-10-11,0,0,0,0,0.000000
2024-10-12,0,49418,19,0,0.000000
2024-10-13,0,80602,24,0,0.000000
2024-10-14,0,79535,24,0,0.000000
2024-10-15,0,82449,24,0,0.000000
2024-10-16,0,71948,24,0,0.000000
2024-10-17,0,90336,24,0,0.000000
2024-10-18,0,91215,48,0,0.000000
2024-10-19,0,95842,48,0,0.000000
2024-10-20,0,87694,48,0,0.000000
2024-10-21,0,82615,24,0,0.000000
2024-10-22,0,76745,24,0,0.000000
2024-10-23,0,70757,24,0,0.000000
2024-10-24,0,77293,22,0,0.000000
2024-10-25,0,72405,24,0,0.000000
2024-10-26,0,95523,24,0,0.000000
2024-10-27,0,87419,24,0,0.000000
2024-10-28,0,80711,23,0,0.000000
2024-10-29,0,77400,24,0,0.000000
2024-10-30,0,74265,24,0,0.000000
2024-10-31,0,85211,24,0,0.000000
2024-11-01,0,71280,24,0,0.000000
2024-11-02,0,69742,24,0,0.000000
2024-11-03,0,66507,24,0,0.000000
2024-11-04,0,60792,19,0,0.000000
2024-11-05,0,84796,13,0,0.000000
2024-11-06,0,82133,7,0,0.000000
2024-11-07,0,63273,17,0,0.000000
2024-11-08,0,70377,24,0,0.000000
2024-11-09,0,73602,24,0,0.000000
2024-11-10,0,62359,24,0,0.000000
2024-11-11,0,67361,24,0,0.000000
2024-11-12,0,71294,24,0,0.000000
2024-11-13,0,74577,24,0,0.000000
2024-11-14,0,61755,24,0,0.000000
2024-11-15,0,65281,24,0,0.000000
2024-11-16,0,96715,24,0,0.000000
2024-11-17,0,91252,24,0,0.000000
2024-11-18,0,89515,24,0,0.000000
2024-11-19,0,98895,24,0,0.000000
2024-11-20,0,95944,24,0,0.000000
2024-11-21,0,95600,24,0,0.000000
2024-11-22,0,90306,24,0,0.000000
2024-11-23,0,88504,24,0,0.000000
2024-11-24,0,90464,24,0,0.000000
2024-11-25,0,110866,24,0,0.000000
2024-11-26,0,109145,24,0,0.000000
2024-11-27,0,97289,24,0,0.000000
2024-11-28,0,106291,21,0,0.000000
2024-11-29,0,115294,24,0,0.000000
2024-11-30,0,113163,24,0,0.000000
2024-12-01,0,109093,22,0,0.000000
2024-12-02,0,101628,23,0,0.000000
2024-12-03,0,93548,24,0,0.000000
2024-12-04,0,93176,24,0,0.000000
2024-12-05,0,88703,24,0,0.000000
2024-12-06,0,94477,24,0,0.000000
2024-12-07,0,99520,24,0,0.000000
2024-12-08,0,104836,22,0,0.000000
2024-12-09,0,93487,23,0,0.000000
2024-12-10,0,93576,24,0,0.000000
2024-12-11,0,89996,24,0,0.000000
2024-12-12,0,89888,24,0,0.000000
2024-12-13,0,93502,24,0,0.000000
2024-12-14,0,95037,24,0,0.000000
2024-12-15,0,82950,23,0,0.000000
2024-12-16,0,88520,24,0,0.000000
2024-12-17,0,85795,24,0,0.000000
2024-12-18,0,84682,24,0,0.000000
2024-12-19,0,100085,24,0,0.000000
2024-12-20,0,94443,24,0,0.000000
2024-12-21,0,99841,24,0,0.000000
2024-12-22,0,97925,24,0,0.000000
2024-12-23,0,117113,24,0,0.000000
2024-12-24,0,105966,24,0,0.000000
2024-12-25,0,106141,20,0,0.000000
2024-12-26,0,113278,24,0,0.000000
2024-12-27,0,107943,24,0,0.000000
2024-12-28,0,112072,24,0,0.000000
2024-12-29,0,117248,23,0,0.000000
2024-12-30,0,103230,24,0,0.000000
2024-12-31,0,91076,19,0,0.000000
2025-01-01,0,104903,18,0,0.000000
2025-01-02,0,88959,22,0,0.000000
2025-01-03,0,98887,23,0,0.000000
2025-01-04,0,104233,24,0,0.000000
2025-01-05,0,107948,22,0,0.000000
